Default Order,OfficerName,AbilityType,OfficerSynergy,AbilityModifier,AbilityConditions,AbilityTrigger,AbilityTarget,AbilityOperation,AbilityAttributes,AbilityDescription,AbilityDescriptionShort,AbilityChances,AbilityValues,AbilityHasChance,AbilityShowPercentage,Tag_PvPinSpace,Tag_PvPinSpace_Reason,Tag_PvPStation,Tag_PvPStation_Reason,Tag_NonArmadaHostiles,Tag_NonArmadaHostiles_Reason,Tag_WaveDefense,Tag_WaveDefense_Reason,Tag_MissionBosses,Tag_MissionBosses_Reason,Tag_QTrial,Tag_QTrial_Reason,Tag_SoloArmadas,Tag_SoloArmadas_Reason,Tag_GroupArmadas,Tag_GroupArmadas_Reason,Tag_Assaults,Tag_Assaults_Reason,Tag_InvadingEntities,Tag_InvadingEntities_Reason,Tag_OutpostArmadas,Tag_OutpostArmadas_Reason,Tag_OutpostRetaliators,Tag_OutpostRetaliators_Reason,Tag_Loot,Tag_Loot_Reason,Tag_Utility,Tag_Utility_Reason,AbilityID,OfficerId,OfficerArt,OfficerRarity,Requires_StateSelf,Requires_StateTarget,Conditional_Reason,AbilityChance_1,AbilityChance_2,AbilityChance_3,AbilityChance_4,AbilityChance_5,AbilityValue_1,AbilityValue_2,AbilityValue_3,AbilityValue_4,AbilityValue_5,Column 1,Column 2
292,MARTOK,OA,KHITOMER'S REVENGE,ShipDodge,,CombatStart,SelfShip,MultiplyBaseAdd,officer_stat=2,Martok increases the ship's Dodge by X of total Crew Defense.,+X of Crew Defense to Dodge,"1.0, 1.0, 1.0, 1.0, 1.0","2.0, 5.0, 8.0, 11.0, 14.0",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,ShipDodge,➖,ShipDodge,4048510643,2184439996,184,Rare,,,,1,1,1,1,1,2,5,8,11,14,,
293,GHRUSH,CM,Syndicate,CargoProtection,,ShipLaunched,SelfShip,MultiplyAdd,,Ghrush increases the Protected Cargo of the ship by X.,+X to Protected Cargo,"1.0, 1.0, 1.0","1.0, 0.25, 0.5",FALSE,TRUE,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,✅,,741219458,909354959,921,Epic,,,,1,1,1,,,1,0.25,0.5,,,,
294,GHRUSH,OA,Syndicate,WarpDistance,,ShipLaunched,SelfShip,MultiplyAdd,,Ghrush increases the Warp Range of the ship by X.,+X to Warp Range,"1.0, 1.0, 1.0, 1.0, 1.0","0.06, 0.08, 0.1, 0.12, 0.15",FALSE,TRUE,➖,WarpDistance,➖,WarpDistance,➖,WarpDistance,➖,WarpDistance,➖,WarpDistance,➖,WarpDistance,➖,WarpDistance,➖,WarpDistance,➖,WarpDistance,➖,WarpDistance,➖,WarpDistance,➖,WarpDistance,➖,WarpDistance,✅,,1514072808,909354959,921,Epic,,,,1,1,1,1,1,0.06,0.08,0.1,0.12,0.15,,
295,BA'EL,CM,KHITOMER'S REVENGE,AllDamage,,CombatStart,SelfShip,MultiplyAdd,,Ba'el increases the ship's Weapon Damage by X.,+X to Weapon Damage,"1.0, 1.0, 1.0","0.25, 0.025, 0.05",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,AllDamage,➖,AllDamage,1281603395,566062509,185,Rare,,,,1,1,1,,,0.25,0.025,0.05,,,,
296,BA'EL,OA,KHITOMER'S REVENGE,ShipArmor,,CombatStart,SelfShip,MultiplyBaseAdd,officer_stat=1,Ba'el increases the ship's Armor by X of total Crew Attack.,+X of Crew Attack to Armor,"1.0, 1.0, 1.0, 1.0, 1.0","2.0, 5.0, 8.0, 11.0, 14.0",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,ShipArmor,➖,ShipArmor,1300699647,566062509,185,Rare,,,,1,1,1,1,1,2,5,8,11,14,,
297,B'ETOR,CM,PRIDE OF ROMULUS,SkillCloakingDuration,,ShipLaunched,SelfShip,MultiplyAdd,,"When on a ship that can use cloaking, B'Etor increases the duration the ship can stay cloaked by X.",+X to cloaking duration,"1.0, 1.0, 1.0","0.2, 0.05, 0.1",FALSE,TRUE,➖,SkillCloakingDuration,➖,SkillCloakingDuration,➖,SkillCloakingDuration,➖,SkillCloakingDuration,➖,SkillCloakingDuration,➖,SkillCloakingDuration,➖,SkillCloakingDuration,➖,SkillCloakingDuration,➖,SkillCloakingDuration,➖,SkillCloakingDuration,➖,SkillCloakingDuration,➖,SkillCloakingDuration,➖,SkillCloakingDuration,✅,,2319707047,1577339063,189,Rare,,,,1,1,1,,,0.2,0.05,0.1,,,,
298,B'ETOR,OA,PRIDE OF ROMULUS,CombatScavenger,SelfHullAmalgam,ShipLaunched,SelfShip,MultiplyAdd,,"When on the Amalgam, B'Etor boosts the Amalgam's bonus loot ship ability by X.",B'Etor boosts the Amalgam's bonus loot ship ability by +X,"1.0, 1.0, 1.0, 1.0, 1.0","0.1, 0.14, 0.22, 0.34, 0.5",FALSE,TRUE,➖,SelfHullAmalgam,✴️,Amalgam,➖,SelfHullAmalgam,➖,SelfHullAmalgam,➖,SelfHullAmalgam,➖,SelfHullAmalgam,➖,SelfHullAmalgam,➖,SelfHullAmalgam,➖,SelfHullAmalgam,➖,SelfHullAmalgam,➖,SelfHullAmalgam,➖,SelfHullAmalgam,➖,CombatScavenger,➖,CombatScavenger,2971941649,1577339063,189,Rare,,,Amalgam,1,1,1,1,1,0.1,0.14,0.22,0.34,0.5,,
299,LURSA,CM,PRIDE OF ROMULUS,SkillCloakingCooldown,,ShipLaunched,SelfShip,Add,,"When on a ship that can use cloaking, Lursa decreases the cloaking cooldown by X.",-X to cloaking cooldown,"1.0, 1.0, 1.0","0.3, 0.05, 0.1",FALSE,TRUE,➖,SkillCloakingCooldown,➖,SkillCloakingCooldown,➖,SkillCloakingCooldown,➖,SkillCloakingCooldown,➖,SkillCloakingCooldown,➖,SkillCloakingCooldown,➖,SkillCloakingCooldown,➖,SkillCloakingCooldown,➖,SkillCloakingCooldown,➖,SkillCloakingCooldown,➖,SkillCloakingCooldown,➖,SkillCloakingCooldown,➖,SkillCloakingCooldown,✅,,1037918091,2639742910,188,Uncommon,,,,1,1,1,,,0.3,0.05,0.1,,,,
300,LURSA,OA,PRIDE OF ROMULUS,AllDamage,"EnemyPlayer, SelfAttacking",CombatStart,EnemyShip,MultiplySub,,"When attacking other players, Lursa decreases the opponent's Weapon Damage by X.",-X to defending enemy player Weapon Damage,"1.0, 1.0, 1.0, 1.0, 1.0","0.25, 0.3, 0.4, 0.55, 0.7",FALSE,TRUE,✅,,✅,,➖,"EnemyPlayer, SelfAttacking",➖,"EnemyPlayer, SelfAttacking",➖,"EnemyPlayer, SelfAttacking",➖,"EnemyPlayer, SelfAttacking",➖,"EnemyPlayer, SelfAttacking",➖,"EnemyPlayer, SelfAttacking",➖,"EnemyPlayer, SelfAttacking",➖,"EnemyPlayer, SelfAttacking",➖,"EnemyPlayer, SelfAttacking",➖,"EnemyPlayer, SelfAttacking",➖,AllDamage,➖,AllDamage,3409009998,2639742910,188,Uncommon,,,,1,1,1,1,1,0.25,0.3,0.4,0.55,0.7,,
301,ARROCK,CM,FERENGI CONGLOMERATE,MiningRate,,ShipLaunched,SelfShip,MultiplyAdd,resources=[2164745208],Increase mining speed when mining Concentrated Latinum by X.,+X mining speed for Concentrated Latinum.,"1.0, 1.0, 1.0","65.0, 12.0, 30.0",FALSE,TRUE,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,✅,,1319690809,1835829612,192,Rare,,,,1,1,1,,,65,12,30,,,,
302,ARROCK,OA,FERENGI CONGLOMERATE,MiningRate,,ShipLaunched,SelfShip,MultiplyAdd,"resources=[2325683920, 743985951, 2614028847, 1908242242, 96209859, 1371898528, 84292608, 1779416627, 680796905, 802509572, 2964093937, 3735331456, 2905009151, 1349464922, 3598797204, 1600760006, 2166628666, 1957060718, 1692987719, 2424553373, 2991010408, 2705205969, 563579678, 2164745208, 4275314946, 1734940706, 733419347, 3842158911, 2002611017, 3739531165, 999782265, 580616659, 3043859351, 3662113780, 2392079650, 3111281042, 2160856496, 3821364733, 1768524995, 1495067766, 2431214132, 3342042571, 819663825, 1586478890, 296474010, 2285412015, 2440004407, 1574840331, 298768773, 141958867]",Increase mining speed by X.,+X Mining Speed.,"1.0, 1.0, 1.0, 1.0, 1.0","0.25, 0.3, 0.4, 0.45, 0.5",FALSE,TRUE,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,✅,,104723506,1835829612,192,Rare,,,,1,1,1,1,1,0.25,0.3,0.4,0.45,0.5,,
303,FESS,CM,FERENGI CONGLOMERATE,MiningRate,,ShipLaunched,SelfShip,MultiplyAdd,"resources=[2325683920, 743985951, 2614028847, 1908242242, 96209859, 1371898528, 84292608, 1779416627, 680796905, 802509572, 2964093937, 3735331456, 2905009151, 1349464922, 3598797204, 1600760006, 2166628666, 1957060718, 1692987719, 2424553373, 2991010408, 2705205969, 563579678, 2164745208, 4275314946, 1734940706, 733419347, 3842158911, 2002611017, 3739531165, 999782265, 580616659, 3043859351, 3662113780, 2392079650, 3111281042, 2160856496, 3821364733, 1768524995, 1495067766, 2431214132, 3342042571, 819663825, 1586478890, 296474010, 2285412015, 2440004407, 1574840331, 298768773, 141958867]",Increase base mining speed by X.,+X Mining Speed.,"1.0, 1.0, 1.0","0.55, 0.2, 0.35",FALSE,TRUE,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,✅,,4265842515,3191841428,193,Rare,,,,1,1,1,,,0.55,0.2,0.35,,,,
304,FESS,OA,FERENGI CONGLOMERATE,CargoProtection,,ShipLaunched,SelfShip,MultiplySub,,Reduce protected cargo by X.,Reduce protected cargo by X.,"1.0, 1.0, 1.0, 1.0, 1.0","0.3, 0.25, 0.2, 0.15, 0.1",FALSE,TRUE,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,✅,,2110567361,3191841428,193,Rare,,,,1,1,1,1,1,0.3,0.25,0.2,0.15,0.1,,
305,QUARK,CM,FERENGI CONGLOMERATE,CargoProtection,,ShipLaunched,SelfShip,MultiplyAdd,,Increase protected cargo by X.,Increase protected cargo by +X.,"1.0, 1.0, 1.0","0.9, 0.08, 0.15",FALSE,TRUE,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,✅,,3140201508,2334517642,191,Epic,,,,1,1,1,,,0.9,0.08,0.15,,,,
306,QUARK,OA,FERENGI CONGLOMERATE,MiningRate,,ShipLaunched,SelfShip,MultiplyAdd,"resources=[2325683920, 743985951, 2614028847, 1908242242, 96209859, 1371898528, 84292608, 1779416627, 680796905, 802509572, 2964093937, 3735331456, 2905009151, 1349464922, 3598797204, 1600760006, 2166628666, 1957060718, 1692987719, 2424553373, 2991010408, 2705205969, 563579678, 2164745208, 4275314946, 1734940706, 733419347, 3842158911, 2002611017, 3739531165, 999782265, 580616659, 3043859351, 3662113780, 2392079650, 3111281042, 2160856496, 3821364733, 1768524995, 1495067766, 2431214132, 3342042571, 819663825, 1586478890, 296474010, 2285412015, 2440004407, 1574840331, 298768773, 141958867]",Increase mining speed by X.,+X Mining Speed.,"1.0, 1.0, 1.0, 1.0, 1.0","0.8, 1.0, 1.2, 1.4, 1.6",FALSE,TRUE,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,✅,,2656564852,2334517642,191,Epic,,,,1,1,1,1,1,0.8,1,1.2,1.4,1.6,,
307,ROM,CM,FERENGI CONGLOMERATE,AllLoadSpeed,"EnemySentinel, TargetNotASB, SelfAttacking",CombatStart,EnemyAllShips,Add,,"When attacking a station, Rom delays opponent ship and defense platform Weapon Fire for X round. -- This ability does not gain synergy group benefits.",Delay opponent's fire by X round when attacking a station.,"1.0, 1.0, 1.0","1.0, 0.0, 0.0",FALSE,TRUE,➖,EnemySentinel,✅,,➖,"SelfAttacking, EnemySentinel",➖,"SelfAttacking, EnemySentinel",➖,"SelfAttacking, EnemySentinel",➖,"SelfAttacking, EnemySentinel",➖,"SelfAttacking, EnemySentinel",➖,"SelfAttacking, EnemySentinel",➖,TargetNotASB,➖,"SelfAttacking, EnemySentinel",➖,"SelfAttacking, EnemySentinel",➖,"SelfAttacking, EnemySentinel",➖,AllLoadSpeed,➖,AllLoadSpeed,3546112970,1248750548,194,Epic,,,,1,1,1,,,1,0,0,,,,
308,ROM,OA,FERENGI CONGLOMERATE,ShotsPerAttack,"EnemySentinel, TargetNotASB, SelfAttacking",CombatStart,SelfShip,MultiplyAdd,,"When attacking a station, Rom increases the number of shots of the ship's weapons by X.",+X shots when attacking a station.,"1.0, 1.0, 1.0, 1.0, 1.0","0.5, 0.7, 0.9, 1.2, 1.5",FALSE,TRUE,➖,EnemySentinel,✅,,➖,"SelfAttacking, EnemySentinel",➖,"SelfAttacking, EnemySentinel",➖,"SelfAttacking, EnemySentinel",➖,"SelfAttacking, EnemySentinel",➖,"SelfAttacking, EnemySentinel",➖,"SelfAttacking, EnemySentinel",➖,TargetNotASB,➖,"SelfAttacking, EnemySentinel",➖,"SelfAttacking, EnemySentinel",➖,"SelfAttacking, EnemySentinel",➖,ShotsPerAttack,➖,ShotsPerAttack,479594847,1248750548,194,Epic,,,,1,1,1,1,1,0.5,0.7,0.9,1.2,1.5,,
309,CATH,CM,FERENGI CONGLOMERATE,RepairCostsPost,,ShipLaunched,SelfShip,MultiplyAdd,,Cath increases the Repair Cost Efficiency of the ship by X. -- This ability is applied after all other bonuses from research and/or your station and stacked on top.,+X to Repair Cost Efficiency,"1.0, 1.0, 1.0","0.4, 0.05, 0.1",FALSE,TRUE,➖,RepairCostsPost,➖,RepairCostsPost,➖,RepairCostsPost,➖,RepairCostsPost,➖,RepairCostsPost,➖,RepairCostsPost,➖,RepairCostsPost,➖,RepairCostsPost,➖,RepairCostsPost,➖,RepairCostsPost,➖,RepairCostsPost,➖,RepairCostsPost,➖,RepairCostsPost,✅,,1100318825,4019230068,195,Rare,,,,1,1,1,,,0.4,0.05,0.1,,,,
310,CATH,OA,FERENGI CONGLOMERATE,AllDamage,"ModuleKinetic, TargetMaxLevel, EnemyHostile, TargetNotArmada",CombatStart,EnemyShip,MultiplySub,max_level=51,"If the opponent is a Hostile, Cath decreases the Damage done by its Kinetic Weapons by X. Works against Hostiles of level 51 and under.",-X to Kinetic Damage dealt by enemy Hostiles,"1.0, 1.0, 1.0, 1.0, 1.0","0.12, 0.15, 0.18, 0.21, 0.25",FALSE,TRUE,➖,"ModuleKinetic, EnemyHostile",➖,"ModuleKinetic, EnemyHostile",✴️,"TargetMaxLevel, ModuleKinetic",✴️,"TargetMaxLevel, ModuleKinetic",➖,"ModuleKinetic, EnemyHostile",✴️,"TargetMaxLevel, ModuleKinetic",➖,TargetNotArmada,➖,TargetNotArmada,➖,"ModuleKinetic, EnemyHostile",➖,TargetNotArmada,➖,"ModuleKinetic, EnemyHostile",➖,"ModuleKinetic, EnemyHostile",➖,AllDamage,➖,AllDamage,1250096698,4019230068,195,Rare,,,"TargetMaxLevel, ModuleKinetic",1,1,1,1,1,0.12,0.15,0.18,0.21,0.25,,
311,BECKETT MARINER,OA,LOWER DECKS CREW,OfficerStatAttack,,ShipLaunched,SelfAll,MultiplyAdd,,Beckett Mariner increases the Attack of all Officers on the ship by X.,+X to all Officer Attack.,"1.0, 1.0, 1.0, 1.0, 1.0","0.05, 0.1, 0.15, 0.25, 0.3",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,OfficerStatAttack,➖,OfficerStatAttack,2587348908,725106789,196,Epic,,,,1,1,1,1,1,0.05,0.1,0.15,0.25,0.3,,
312,BECKETT MARINER,BDA,LOWER DECKS CREW,AllDamage,,ShipLaunched,SelfShip,MultiplyAdd,,Beckett Mariner increases the ship's Weapon Damage by X.,+X to Weapon Damage.,"1.0, 1.0, 1.0, 1.0, 1.0","0.7, 0.95, 1.15, 1.4, 1.8",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,AllDamage,➖,AllDamage,409777518,725106789,196,Epic,,,,1,1,1,1,1,0.7,0.95,1.15,1.4,1.8,,
313,BRAD BOIMLER,OA,LOWER DECKS CREW,AllPiercing,,ShipLaunched,SelfShip,MultiplyAdd,,"Brad Boimler increases Armor Piercing, Shield Piercing, and Accuracy by X.",+X to all Penetration stats.,"1.0, 1.0, 1.0, 1.0, 1.0","0.3, 0.35, 0.4, 0.45, 0.5",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,AllPiercing,➖,AllPiercing,3954073301,2486433247,197,Rare,,,,1,1,1,1,1,0.3,0.35,0.4,0.45,0.5,,
314,BRAD BOIMLER,BDA,LOWER DECKS CREW,AllDefenses,,ShipLaunched,SelfShip,MultiplyAdd,,"Brad Boimler increases Armor, Shield Deflection, and Dodge by X.",+X to all Mitigation stats.,"1.0, 1.0, 1.0, 1.0, 1.0","0.5, 0.675, 0.85, 1.075, 1.3",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,AllDefenses,➖,AllDefenses,419878869,2486433247,197,Rare,,,,1,1,1,1,1,0.5,0.675,0.85,1.075,1.3,,
315,BADGEY,OA,LOWER DECKS CREW,AllDefenses,"TargetNotArmada, TargetNotASB",CombatStart,EnemyShip,MultiplySub,,"Badgey decreases the Armor, Shield Deflection, and Dodge of enemy ships by X.",-X to all Mitigation stats of enemy ships.,"1.0, 1.0, 1.0, 1.0, 1.0","0.05, 0.12, 0.15, 0.18, 0.2",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,➖,TargetNotArmada,➖,TargetNotArmada,➖,TargetNotASB,➖,TargetNotArmada,✅,,✅,,➖,AllDefenses,➖,AllDefenses,1821429098,1437818828,198,Uncommon,,,,1,1,1,1,1,0.05,0.12,0.15,0.18,0.2,,
316,BADGEY,BDA,LOWER DECKS CREW,AllPiercing,,ShipLaunched,SelfShip,MultiplyAdd,,"Badgey increases Armor Penetration, Shield Penetration, and Accuracy by X.",+X to all Penetration stats.,"1.0, 1.0, 1.0, 1.0, 1.0","0.15, 0.225, 0.3, 0.45, 0.65",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,AllPiercing,➖,AllPiercing,2353995811,1437818828,198,Uncommon,,,,1,1,1,1,1,0.15,0.225,0.3,0.45,0.65,,
317,D'VANA TENDI,OA,LOWER DECKS CREW,OfficerStatHealth,,ShipLaunched,SelfAll,MultiplyAdd,,D'Vana Tendi increases the Health of all Officers on the ship by X.,+X to all Officer Health.,"1.0, 1.0, 1.0, 1.0, 1.0","0.05, 0.1, 0.15, 0.25, 0.3",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,OfficerStatHealth,➖,OfficerStatHealth,698615866,3865023367,200,Epic,,,,1,1,1,1,1,0.05,0.1,0.15,0.25,0.3,,
318,D'VANA TENDI,BDA,LOWER DECKS CREW,HullHPMax,,ShipLaunched,SelfShip,MultiplyAdd,,D'Vana Tendi increases the ship's Hull Health by X.,+X to HHP.,"1.0, 1.0, 1.0, 1.0, 1.0","0.75, 1.0, 1.35, 1.7, 2.15",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,HullHPMax,➖,HullHPMax,2296451322,3865023367,200,Epic,,,,1,1,1,1,1,0.75,1,1.35,1.7,2.15,,
319,SAM RUTHERFORD,OA,LOWER DECKS CREW,AllDefenses,,ShipLaunched,SelfShip,MultiplyAdd,,"Sam Rutherford increases Armor, Shield Deflection, and Dodge by X.",+X to all Mitigation stats.,"1.0, 1.0, 1.0, 1.0, 1.0","0.3, 0.35, 0.4, 0.45, 0.5",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,AllDefenses,➖,AllDefenses,2260942311,47699744,199,Rare,,,,1,1,1,1,1,0.3,0.35,0.4,0.45,0.5,,
320,SAM RUTHERFORD,BDA,LOWER DECKS CREW,ShieldHPMax,,ShipLaunched,SelfShip,MultiplyAdd,,Sam Rutherford increases the ship's Shield Health by X.,+X to SHP.,"1.0, 1.0, 1.0, 1.0, 1.0","0.5, 0.7, 0.9, 1.1, 1.35",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,ShieldHPMax,➖,ShieldHPMax,1495104260,47699744,199,Rare,,,,1,1,1,1,1,0.5,0.7,0.9,1.1,1.35,,
321,SNW PIKE,CM,STRANGE NEW WORLDS,ShieldMitigation,"EnemyHostile, TargetNotArmada",CombatStart,SelfShip,Add,,"When fighting hostiles, SNW Pike increases Shield Mitigation by X.",Increase Shield Mitigation by X.,"1.0, 1.0, 1.0","0.04, 0.02, 0.05",FALSE,TRUE,➖,EnemyHostile,➖,EnemyHostile,✅,,✅,,➖,EnemyHostile,✅,,➖,TargetNotArmada,➖,TargetNotArmada,➖,EnemyHostile,➖,TargetNotArmada,➖,EnemyHostile,➖,EnemyHostile,➖,ShieldMitigation,➖,ShieldMitigation,3308805436,2241990218,201,Epic,,,,1,1,1,,,0.04,0.02,0.05,,,,
322,SNW PIKE,OA,STRANGE NEW WORLDS,ShieldMitigation,"EnemyHostile, TargetNotArmada",CombatStart,EnemyShip,Sub,,"When fighting hostiles, SNW Pike decreases hostile Shield Mitigation by X.",Decrease hostile Shield Mitigation by X.,"1.0, 1.0, 1.0, 1.0, 1.0","0.1, 0.15, 0.2, 0.25, 0.35",FALSE,TRUE,➖,EnemyHostile,➖,EnemyHostile,✅,,✅,,➖,EnemyHostile,✅,,➖,TargetNotArmada,➖,TargetNotArmada,➖,EnemyHostile,➖,TargetNotArmada,➖,EnemyHostile,➖,EnemyHostile,➖,ShieldMitigation,➖,ShieldMitigation,1761806598,2241990218,201,Epic,,,,1,1,1,1,1,0.1,0.15,0.2,0.25,0.35,,
323,SNW SPOCK,CM,STRANGE NEW WORLDS,CritChance,"EnemyHostile, TargetNotArmada",CombatStart,EnemyShip,Sub,,"When fighting hostiles, SNW Spock decreases hostile critical hit chance by X.",Decrease critical hit chance of hostiles by X.,"1.0, 1.0, 1.0","0.15, 0.05, 0.1",FALSE,TRUE,➖,EnemyHostile,➖,EnemyHostile,✅,,✅,,➖,EnemyHostile,✅,,➖,TargetNotArmada,➖,TargetNotArmada,➖,EnemyHostile,➖,TargetNotArmada,➖,EnemyHostile,➖,EnemyHostile,➖,CritChance,➖,CritChance,2246477690,2702893021,202,Rare,,,,1,1,1,,,0.15,0.05,0.1,,,,
324,SNW SPOCK,OA,STRANGE NEW WORLDS,AllDefenses,"SelfExplorer, EnemyHostile, TargetNotArmada, EnemyInterceptor",CombatStart,SelfShip,MultiplyBaseAdd,officer_stat=2,"SNW Spock increases Armor, Shield Deflection, and Dodge by X of total Defense when attacking hostile Interceptors from an Explorer.","Increase Armor, Shield Deflection, and Dodge by X of total Defense.","1.0, 1.0, 1.0, 1.0, 1.0","5.0, 8.0, 11.0, 14.0, 18.0",FALSE,TRUE,➖,"SelfExplorer, EnemyHostile, EnemyInterceptor",➖,"SelfExplorer, EnemyHostile, EnemyInterceptor",✴️,"SelfExplorer, EnemyInterceptor",✴️,"SelfExplorer, EnemyInterceptor",➖,"SelfExplorer, EnemyHostile, EnemyInterceptor",✴️,"SelfExplorer, EnemyInterceptor",➖,TargetNotArmada,➖,TargetNotArmada,➖,"SelfExplorer, EnemyHostile, EnemyInterceptor",➖,TargetNotArmada,➖,"SelfExplorer, EnemyHostile, EnemyInterceptor",➖,"SelfExplorer, EnemyHostile, EnemyInterceptor",➖,AllDefenses,➖,AllDefenses,1101292289,2702893021,202,Rare,,,"SelfExplorer, EnemyInterceptor",1,1,1,1,1,5,8,11,14,18,,
325,SNW LA'AN,OA,STRANGE NEW WORLDS,WarpSpeed,,ShipLaunched,SelfShip,MultiplyAdd,,SNW La'an increases base Warp Speed by X.,Increase base Warp Speed by X.,"1.0, 1.0, 1.0, 1.0, 1.0","0.5, 0.7, 0.95, 1.25, 1.5",FALSE,TRUE,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,➖,WarpSpeed,✅,,2282961192,2543722471,203,Rare,,,,1,1,1,1,1,0.5,0.7,0.95,1.25,1.5,,
326,SNW LA'AN,BDA,STRANGE NEW WORLDS,CargoCapacity,,ShipLaunched,SelfShip,MultiplyAdd,,SNW La'an increases the ship's base Max Cargo by X.,Increase base Max Cargo by X.,"1.0, 1.0, 1.0, 1.0, 1.0","0.25, 0.3, 0.35, 0.4, 0.5",FALSE,TRUE,➖,CargoCapacity,➖,CargoCapacity,➖,CargoCapacity,➖,CargoCapacity,➖,CargoCapacity,➖,CargoCapacity,➖,CargoCapacity,➖,CargoCapacity,➖,CargoCapacity,➖,CargoCapacity,➖,CargoCapacity,➖,CargoCapacity,➖,CargoCapacity,✅,,786504700,2543722471,203,Rare,,,,1,1,1,1,1,0.25,0.3,0.35,0.4,0.5,,
327,REGINALD BARCLAY,OA,HOLODECK,OfficerStatDefense,,ShipLaunched,SelfAll,MultiplyAdd,,Reginald Barclay increases the base Defense of all Officers by X.,+X to all Officer's base Defense.,"1.0, 1.0, 1.0, 1.0, 1.0","0.05, 0.1, 0.15, 0.25, 0.3",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,OfficerStatDefense,➖,OfficerStatDefense,3136273375,3523093667,205,Epic,,,,1,1,1,1,1,0.05,0.1,0.15,0.25,0.3,,
