,,,,,,,,,,,,,,,,,,,,
,,,   Rarity,OfficerName,,PvP Space,PvP Station,Red Moving Space,Waves,QTrial,Mission Bosses,Group Armadas,Solo Armadas,Invading Entities,Assaults,Outpost Armadas,Outpost Retaliation Attackers,Reason,Loot,Utility
,,,   E,CAROL FREEMAN,CM,✅,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,CAROL FREEMAN,OA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,TargetStateAny,➖,➖
,,,   E,JACK RANSOM,OA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,"SelfExplorer, SelfHasMorale",➖,➖
,,,   E,JACK RANSOM,BDA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,"SelfInterceptor, TargetHasHullBreach",➖,➖
,,,   E,ANDY BILLUPS,OA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,"SelfInterceptor, TargetHasHullBreach",➖,➖
,,,   E,ANDY BILLUPS,BDA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,"SelfBattleship, TargetHasBurning",➖,➖
,,,   E,SHAXS,OA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,"SelfBattleship, TargetHasBurning",➖,➖
,,,   E,SHAXS,BDA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,"SelfExplorer, SelfHasMorale",➖,➖
,,,   E,DOCTOR T'ANA,OA,✅,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,DOCTOR T'ANA,BDA,✅,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   R,ALONZO FREEMAN,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   R,ALONZO FREEMAN,BDA,➖,➖,✴️,➖,➖,➖,✴️,✴️,➖,➖,➖,   ➖,FactionPointsGain,✅,➖
,,,   E,ENT-E PICARD,CM,➖,➖,✅,➖,➖,➖,✅,✅,✅,➖,✅,   ✅,,✅,➖
,,,   E,ENT-E PICARD,OA,➖,➖,✅,✅,✅,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   R,ENT-E DATA,BDA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   R,ENT-E DATA,OA,➖,➖,✅,✅,✅,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,ENT-E RIKER,CM,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   E,ENT-E RIKER,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   R,ENT-E TROI,OA,➖,➖,✅,✅,✅,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   R,ENT-E TROI,BDA,➖,➖,✅,✅,✅,➖,✅,✅,✅,➖,➖,   ➖,,➖,➖
,,,   E,TRIP TUCKER,OA,✅,✅,✅,✅,✅,✅,➖,➖,➖,➖,✅,   ✅,,➖,➖
,,,   E,TRIP TUCKER,BDA,➖,➖,✴️,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,HirogenRelicAndBiotoxinLoot,✅,➖
,,,   R,T'POL,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   R,T'POL,BDA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   E,JONATHAN ARCHER,CM,➖,➖,✴️,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,XindiHostileLoot,✅,➖
,,,   E,JONATHAN ARCHER,OA,✅,✅,✅,✅,✅,✅,➖,➖,➖,➖,✅,   ✅,,➖,➖
,,,   R,SHRAN,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   R,SHRAN,BDA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   E,PIC HUGH,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   E,PIC HUGH,BDA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   R,HOSHI SATO,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   R,HOSHI SATO,BDA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   E,PHLOX,OA,✅,➖,✅,✅,✅,✅,➖,➖,➖,➖,✅,   ✅,,➖,➖
,,,   E,PHLOX,BDA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   E,SNW M’BENGA,CM,➖,➖,✅,✅,✅,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,SNW M’BENGA,OA,➖,➖,✅,✅,✅,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   R,SNW NURSE CHAPEL,OA,➖,➖,✴️,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,GornHostileVolatileLoot,✅,➖
,,,   R,SNW NURSE CHAPEL,BDA,➖,➖,✅,✅,✅,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,SNW SAM KIRK,CM,➖,➖,✅,✅,✅,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,SNW SAM KIRK,OA,➖,➖,✅,✅,✅,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,SNW JAMES KIRK,CM,➖,➖,✅,✅,✅,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,SNW JAMES KIRK,OA,➖,➖,✅,✅,✅,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   R,SNW PELIA,OA,➖,➖,✅,✅,✅,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   R,SNW PELIA,BDA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   E,MIRROR PICARD,CM,✅,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,MIRROR PICARD,OA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,"TargetHasAssimilated, SelfOfficerTalNotOnBridge",➖,➖
,,,   R,MIRROR DATA,CM,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,"EnemyInterceptor, SelfOfficerTalNotOnBridge",➖,➖
,,,   R,MIRROR DATA,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   E,MIRROR KIRA,CM,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,SelfOfficerTalNotOnBridge,➖,➖
,,,   E,MIRROR KIRA,OA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,TargetHasAssimilated,➖,➖
,,,   R,MIRROR EZRI,CM,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,"EnemyBattleship, SelfOfficerTalNotOnBridge",➖,➖
,,,   R,MIRROR EZRI,OA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,"ModuleKinetic, TargetHasAssimilated",➖,➖
,,,   R,MIRROR TROI,CM,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,"EnemyExplorer, SelfOfficerTalNotOnBridge",➖,➖
,,,   R,MIRROR TROI,OA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,"TargetHasAssimilated, ModuleEnergy",➖,➖
,,,   R,LIEUTENANT PICARD,CM,➖,➖,✴️,✴️,✴️,➖,➖,➖,➖,➖,➖,   ➖,"TargetMaxLevel, SelfOfficerTalNotOnBridge",➖,➖
,,,   R,LIEUTENANT PICARD,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   E,DEMARCO,OA,➖,➖,➖,➖,➖,➖,✅,✅,✅,➖,➖,   ➖,,➖,➖
,,,   E,DEMARCO,BDA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,TargetStateAny,➖,➖
,,,   E,NESMITH,CM,➖,➖,➖,➖,➖,➖,➖,➖,✅,➖,➖,   ➖,,➖,➖
,,,   E,NESMITH,OA,➖,➖,✴️,✴️,✴️,➖,➖,➖,➖,➖,➖,   ➖,SelfOfficerTalNotOnBridge,➖,➖
,,,   R,DANE,OA,➖,➖,✴️,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,TrelliumRewards,✅,➖
,,,   R,DANE,BDA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   R,LALIARI,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   R,LALIARI,BDA,➖,➖,➖,✴️,➖,➖,➖,➖,➖,➖,➖,   ➖,SelfOfficerTalNotOnBridge,➖,➖
,,,   E,NAGA DELVOS,CM,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   E,NAGA DELVOS,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,NAGA DELVOS,BDA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   E,DAJASH TOLRA,CM,➖,➖,✅,➖,➖,➖,✅,✅,✅,➖,✅,   ✅,,✅,➖
,,,   E,DAJASH TOLRA,OA,➖,➖,➖,➖,➖,➖,✅,✅,✅,➖,➖,   ➖,,➖,➖
,,,   R,TOLI,OA,➖,➖,➖,➖,➖,➖,✅,✅,✅,➖,➖,   ➖,,➖,➖
,,,   R,TOLI,BDA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   E,MASRIAD VAEL,OA,➖,➖,➖,➖,➖,➖,➖,➖,✅,➖,➖,   ➖,,➖,➖
,,,   E,MASRIAD VAEL,BDA,➖,➖,✅,✅,✅,➖,✅,✅,✅,➖,➖,   ➖,,➖,➖
,,,   R,BYR CH'KELRER,OA,➖,➖,✅,✅,✅,➖,✅,✅,✅,➖,➖,   ➖,,➖,➖
,,,   R,BYR CH'KELRER,BDA,➖,➖,✅,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,✅,➖
,,,   E,PHELLUN,OA,➖,➖,✴️,➖,➖,➖,✴️,✴️,➖,➖,➖,   ➖,FactionPointsGain,✅,➖
,,,   E,PHELLUN,BDA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   E,MIRROR UHURA,OA,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,"TargetHasAssimilated, SelfOfficerTalNotOnBridge",➖,➖
,,,   E,MIRROR UHURA,BDA,➖,➖,✴️,✴️,✴️,➖,➖,➖,➖,➖,➖,   ➖,SelfOfficerTalNotOnBridge,➖,➖
,,,   E,STARFLEET Q,CM,✅,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,STARFLEET Q,OA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,"SelfHasMorale, EnemyInterceptor, SelfOfficerTalNotOnBridge",➖,➖
,,,   R,MARIACHI Q,OA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,SelfHasMorale,➖,➖
,,,   R,MARIACHI Q,BDA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,"TargetHasBurning, SelfOfficerTalNotOnBridge",➖,➖
,,,   R,FRENCH MARSHAL Q,OA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,SelfHasMorale,➖,➖
,,,   R,FRENCH MARSHAL Q,BDA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,TargetStateAny,➖,➖
,,,   E,SORAN,CM,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,SelfOfficerTalNotOnBridge,➖,➖
,,,   E,SORAN,OA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,"EnemyExplorer, TargetHasBurning, SelfOfficerTalNotOnBridge",➖,➖
,,,   R,ROMI,OA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,TargetHasBurning,➖,➖
,,,   R,ROMI,BDA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,"TargetHasHullBreach, SelfOfficerTalNotOnBridge",➖,➖
,,,   R,MISS Q,OA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,TargetHasBurning,➖,➖
,,,   R,MISS Q,BDA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,"SelfHasMorale, SelfOfficerTalNotOnBridge",➖,➖
,,,   E,SPECIALIST SEVEN,CM,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,"TargetHasHullBreach, EnemyBattleship",➖,➖
,,,   E,SPECIALIST SEVEN,OA,✅,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   R,ICHEB,OA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,"TargetHasHullBreach, SelfOfficerTalNotOnBridge",➖,➖
,,,   R,ICHEB,BDA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,SelfStateNone,➖,➖
,,,   R,INFILTRATOR TUVOK,OA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,TargetHasHullBreach,➖,➖
,,,   R,INFILTRATOR TUVOK,BDA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,"SelfStateNone, SelfOfficerTalNotOnBridge",➖,➖
,,,   E,ANNORAX,CM,➖,➖,✴️,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,PveChestLootMultiplierLimitedResources,✅,➖
,,,   E,ANNORAX,OA,➖,➖,✴️,✴️,✴️,➖,➖,➖,➖,➖,➖,   ➖,SelfOfficerTalNotOnBridge,➖,➖
,,,   E,SESKA,OA,➖,➖,✅,✅,✅,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,SESKA,BDA,➖,➖,✅,✅,✅,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   R,SUDER,OA,➖,➖,✅,✅,✅,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   R,SUDER,BDA,➖,➖,✅,✅,✅,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,S31 GEORGIOU,OA,➖,➖,✅,✅,✅,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,S31 GEORGIOU,BDA,✅,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   R,RACHEL GARRETT,OA,➖,➖,✅,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,✅,➖
,,,   R,RACHEL GARRETT,BDA,➖,➖,✴️,✴️,✴️,➖,➖,➖,➖,➖,➖,   ➖,"SelfOfficerTalNotOnBridge, EnemyBattleship",➖,➖
,,,   R,ZEPH,OA,➖,➖,✅,✅,✅,➖,✅,✅,✅,➖,➖,   ➖,,➖,➖
,,,   R,ZEPH,BDA,➖,➖,✴️,✴️,✴️,➖,➖,➖,➖,➖,➖,   ➖,"EnemyInterceptor, SelfOfficerTalNotOnBridge",➖,➖
,,,   E,QUASI,OA,✅,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,QUASI,BDA,➖,➖,✅,✅,✅,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   R,ALOK SAHAR,OA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,SelfHullJunker,➖,➖
,,,   R,ALOK SAHAR,BDA,➖,➖,✴️,✴️,✴️,➖,➖,➖,➖,➖,➖,   ➖,"EnemyExplorer, SelfOfficerTalNotOnBridge",➖,➖
,,,   E,WOK CAROL,OA,➖,➖,✴️,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,WokAugmentAllLootRewards,✅,➖
,,,   E,WOK CAROL,BDA,➖,➖,✅,✅,✅,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   R,WOK MCCOY,OA,➖,➖,➖,✅,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   R,WOK MCCOY,BDA,➖,➖,✅,✅,✅,➖,✅,✅,✅,➖,➖,   ➖,,➖,➖
,,,   E,WOK JOACHIM,OA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,"SelfSurveyor, SelfOfficerTalNotOnBridge",➖,➖
,,,   E,WOK JOACHIM,BDA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   E,WOK SCOTTY,OA,➖,➖,➖,➖,➖,➖,✅,✅,✅,➖,✅,   ➖,,✅,➖
,,,   E,WOK SCOTTY,BDA,➖,➖,✅,✅,✅,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   R,WOK SAAVIK,OA,➖,➖,➖,✅,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   R,WOK SAAVIK,BDA,➖,➖,✴️,✴️,✴️,➖,➖,➖,➖,➖,➖,   ➖,TargetStateAny,➖,➖
,,,   E,SNW SCOTTY,OA,➖,➖,✴️,✴️,✴️,✴️,✴️,✴️,➖,✴️,➖,   ➖,Suliban,➖,➖
,,,   E,SNW SCOTTY,BDA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   E,SNW T'PRING,OA,➖,➖,✅,✅,✅,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,SNW T'PRING,BDA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   E,SNW D'CHOK,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   E,SNW D'CHOK,BDA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   E,BLACK OPS M'BENGA,OA,➖,➖,✴️,✴️,✴️,✴️,✴️,✴️,➖,✴️,➖,   ➖,Suliban,➖,➖
,,,   E,BLACK OPS M'BENGA,BDA,➖,➖,✅,✅,✅,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   R,BLACK OPS CHAPEL,OA,➖,➖,✴️,➖,➖,➖,✴️,✴️,➖,➖,➖,   ➖,FactionPointsGain,✅,➖
,,,   R,BLACK OPS CHAPEL,BDA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   E,VIL WINN ADAMI,OA,➖,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,VIL WINN ADAMI,BDA,✅,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,VIL GUL DUKAT,OA,➖,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,VIL GUL DUKAT,BDA,✅,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,NOG,CM,➖,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,SelfOfficerTalNotOnBridge,➖,➖
,,,   E,NOG,OA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,TargetStateAny,➖,➖
,,,   E,THE HIERARCH,CM,✅,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,THE HIERARCH,OA,✅,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,EZRI DAX,CM,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,SelfSurveyor,➖,➖
,,,   E,EZRI DAX,OA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,TargetStateAny,➖,➖
,,,   E,TMP HIKARU SULU,CM,➖,➖,✴️,✴️,➖,➖,➖,➖,➖,➖,✴️,   ✴️,"TargetMaxLevel, SelfOfficerTalNotOnBridge",➖,➖
,,,   E,TMP HIKARU SULU,OA,➖,➖,✴️,✴️,➖,➖,➖,➖,➖,➖,✴️,   ✴️,TargetStateAny,➖,➖
,,,   E,TMP NYOTA UHURA,OA,➖,➖,✅,✅,➖,➖,➖,➖,➖,➖,✅,   ✅,,➖,➖
,,,   E,TMP NYOTA UHURA,BDA,➖,➖,✅,✅,➖,➖,➖,➖,➖,➖,✅,   ✅,,➖,➖
,,,   E,V'GER ILIA,OA,➖,➖,✴️,✴️,➖,➖,➖,➖,➖,➖,✴️,   ✴️,TargetStateAny,➖,➖
,,,   E,V'GER ILIA,BDA,➖,➖,✅,✅,➖,➖,➖,➖,➖,➖,✅,   ✅,,➖,➖
,,,   E,FCM DATA,CM,➖,➖,➖,➖,➖,➖,✅,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,FCM DATA,OA,➖,➖,➖,➖,➖,➖,✅,✅,✅,➖,✅,   ➖,,✅,➖
,,,   E,ZEPHRAM COCHRANE,OA,➖,➖,➖,➖,➖,➖,✅,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,ZEPHRAM COCHRANE,BDA,➖,➖,➖,➖,➖,➖,✅,✅,➖,➖,➖,   ➖,,➖,➖
